Date,Open,High,Low,Close,Adj Close,Volume,NON-STATIONARY,1ST DIFF,SEASONALITY,SEASONAL DIFF
30-04-2019,16.1,16.200001,15.25,15.45,15.45,33729371,NAN,NAN,NAN,NAN
02-05-2019,15.35,16.549999,15.15,16.200001,16.200001,62636435,15.45,0.750001,NAN,NAN
03-05-2019,16.25,16.5,15.9,16.15,16.15,26630328,16.200001,-0.050001,NAN,NAN
06-05-2019,17.15,17.15,16.25,16.35,16.35,45839027,16.15,0.2,NAN,NAN
07-05-2019,16.4,16.6,15.5,15.6,15.6,36754853,16.35,-0.75,NAN,NAN
08-05-2019,15.4,15.4,13.65,14.3,14.3,240357694,15.6,-1.3,NAN,NAN
09-05-2019,14.2,14.5,13.95,14.3,14.3,157917034,14.3,0,NAN,NAN
10-05-2019,14.3,14.3,13.55,14.05,14.05,229057148,14.3,-0.25,NAN,NAN
13-05-2019,14.05,15,14.05,14.45,14.45,200282034,14.05,0.4,NAN,NAN
14-05-2019,14.45,14.55,13,14,14,243253187,14.45,-0.45,NAN,NAN
15-05-2019,14.05,14.15,12.8,12.9,12.9,148791000,14,-1.1,NAN,NAN
16-05-2019,13,13,12.05,12.2,12.2,161982330,12.9,-0.7,NAN,NAN
17-05-2019,12.4,12.45,11.6,11.85,11.85,180983160,12.2,-0.35,15.45,-3.6
20-05-2019,12.25,13,11.8,12.55,12.55,137707027,11.85,0.7,16.200001,-3.650001
21-05-2019,12.6,12.65,11.7,11.8,11.8,94310446,12.55,-0.75,16.15,-4.35
22-05-2019,11.85,12.3,11.5,12.15,12.15,133499642,11.8,0.35,16.35,-4.2
23-05-2019,12.3,13,12.25,12.75,12.75,132685065,12.15,0.6,15.6,-2.85
24-05-2019,12.85,13.25,12.55,12.85,12.85,91577582,12.75,0.1,14.3,-1.45
27-05-2019,12.65,13.25,12.6,13.05,13.05,99540754,12.85,0.2,14.3,-1.25
28-05-2019,13.05,13.8,13,13.65,13.65,170049972,13.05,0.6,14.05,-0.4
29-05-2019,13.7,13.75,13.15,13.2,13.2,50735753,13.65,-0.45,14.45,-1.25
30-05-2019,13.2,13.65,12.95,13.3,13.3,273542405,13.2,0.1,14,-0.7
31-05-2019,13.6,14.05,13.45,13.95,13.95,151171664,13.3,0.65,12.9,1.05
