Date,Open,High,Low,Close,Adj Close,Volume
30-04-2019,16.1,16.200001,15.25,15.45,15.45,33729371
02-05-2019,15.35,16.549999,15.15,16.200001,16.200001,62636435
03-05-2019,16.25,16.5,15.9,16.15,16.15,26630328
06-05-2019,17.15,17.15,16.25,16.35,16.35,45839027
07-05-2019,16.4,16.6,15.5,15.6,15.6,36754853
08-05-2019,15.4,15.4,13.65,14.3,14.3,240357694
09-05-2019,14.2,14.5,13.95,14.3,14.3,157917034
10-05-2019,14.3,14.3,13.55,14.05,14.05,229057148
13-05-2019,14.05,15,14.05,14.45,14.45,200282034
14-05-2019,14.45,14.55,13,14,14,243253187
15-05-2019,14.05,14.15,12.8,12.9,12.9,148791000
16-05-2019,13,13,12.05,12.2,12.2,161982330
17-05-2019,12.4,12.45,11.6,11.85,11.85,180983160
20-05-2019,12.25,13,11.8,12.55,12.55,137707027
21-05-2019,12.6,12.65,11.7,11.8,11.8,94310446
22-05-2019,11.85,12.3,11.5,12.15,12.15,133499642
23-05-2019,12.3,13,12.25,12.75,12.75,132685065
24-05-2019,12.85,13.25,12.55,12.85,12.85,91577582
27-05-2019,12.65,13.25,12.6,13.05,13.05,99540754
28-05-2019,13.05,13.8,13,13.65,13.65,170049972
29-05-2019,13.7,13.75,13.15,13.2,13.2,50735753
30-05-2019,13.2,13.65,12.95,13.3,13.3,273542405
31-05-2019,13.6,14.05,13.45,13.95,13.95,151171664
03-06-2019,13.95,14.15,13.8,14,14,55031122
04-06-2019,14.05,14.4,13.8,13.85,13.85,64187215
06-06-2019,13.9,14,13.2,13.45,13.45,69427339
07-06-2019,13.45,13.55,13.2,13.4,13.4,35136898
10-06-2019,13.3,13.55,12.65,12.8,12.8,49800929
11-06-2019,12.95,13.25,12.6,13.15,13.15,43370155
12-06-2019,13.15,13.2,12.8,12.85,12.85,22813410
13-06-2019,12.8,13.05,12.75,12.9,12.9,32447299
14-06-2019,12.85,12.9,12.3,12.5,12.5,35801366
17-06-2019,12.45,12.45,12,12.1,12.1,34319913
18-06-2019,12,12.1,11.8,11.95,11.95,37194394
19-06-2019,11.95,12.25,11.1,11.4,11.4,50447027
20-06-2019,11.3,11.95,11.25,11.9,11.9,33264078
21-06-2019,11.9,12.4,11.75,12.15,12.15,71979075
24-06-2019,12.15,12.25,11.95,12.1,12.1,36858260
25-06-2019,12,12.3,11.85,12.1,12.1,34910618
26-06-2019,12.05,12.45,12,12.35,12.35,50150199
27-06-2019,12.3,12.65,12.15,12.35,12.35,156191134
28-06-2019,12.3,12.4,12.05,12.15,12.15,36562073
01-07-2019,12.1,12.15,11.8,12,12,33179163
02-07-2019,12.05,12.1,11.6,11.7,11.7,36003888
03-07-2019,11.7,12,11.6,11.95,11.95,29759766
04-07-2019,11.95,13.15,11.8,12.35,12.35,142320663
05-07-2019,12.3,12.55,11.9,12,12,59585610
08-07-2019,11.95,11.95,11.4,11.45,11.45,49904183
09-07-2019,11.4,11.55,11.25,11.35,11.35,34589764
10-07-2019,11.35,11.5,11.2,11.25,11.25,33210775
11-07-2019,11.3,11.8,11.25,11.65,11.65,30842594
12-07-2019,11.65,12.05,11.55,11.7,11.7,31470511
15-07-2019,11.7,12,11.65,11.75,11.75,24805672
16-07-2019,11.85,11.9,11.55,11.8,11.8,27234136
17-07-2019,11.75,12.5,11.65,11.95,11.95,57441442
18-07-2019,11.95,11.95,11.2,11.3,11.3,41704209
19-07-2019,11.45,11.55,10.7,10.95,10.95,80656229
22-07-2019,10.9,11,10.65,10.75,10.75,43637335
23-07-2019,10.85,10.95,10.45,10.55,10.55,65505254
24-07-2019,10.5,10.65,9.85,9.95,9.95,117809888
25-07-2019,9.95,10.15,9.65,9.7,9.7,75424647
26-07-2019,9.7,10,9.1,9.25,9.25,86263682
29-07-2019,8.75,8.9,6.55,6.75,6.75,669682147
30-07-2019,6.85,7.05,6,6.5,6.5,371103251
31-07-2019,6.85,7.1,6.6,6.85,6.85,157323663
01-08-2019,6.9,6.95,6.45,6.65,6.65,115818792
02-08-2019,6.6,6.7,6.2,6.35,6.35,138890327
05-08-2019,6.25,6.25,5.9,6,6,101217920
06-08-2019,5.9,6.05,5.5,5.65,5.65,141607241
07-08-2019,5.6,5.6,5.1,5.35,5.35,134873257
08-08-2019,5.3,5.8,5.2,5.65,5.65,151450330
09-08-2019,5.7,5.95,5.3,5.35,5.35,137510852
13-08-2019,5.4,5.45,4.8,5,5,169808065
14-08-2019,5.1,5.8,5.05,5.65,5.65,137424280
16-08-2019,5.65,6.85,5.4,6.45,6.45,253502013
19-08-2019,6.4,6.45,5.85,6,6,131624842
20-08-2019,5.95,6.2,5.45,5.85,5.85,154625376
21-08-2019,5.8,5.8,5.5,5.6,5.6,84350479
22-08-2019,5.55,5.75,5.2,5.3,5.3,132541611
23-08-2019,5.2,5.9,5,5.75,5.75,138118662
26-08-2019,5.85,6.05,5.25,5.5,5.5,154474776
27-08-2019,5.6,5.75,5.2,5.3,5.3,154864384
28-08-2019,5.3,5.35,4.95,5,5,153324776
29-08-2019,5,5.3,4.8,4.85,4.85,163803711
30-08-2019,4.9,5.45,4.9,5.35,5.35,126453633
03-09-2019,5.4,5.4,5.05,5.1,5.1,58510935
04-09-2019,5.15,5.2,4.9,5,5,53057113
05-09-2019,5.05,5.2,4.95,5.1,5.1,56157581
06-09-2019,5.1,5.4,5.1,5.15,5.15,66907745
09-09-2019,5.2,5.4,5.1,5.3,5.3,56036851
11-09-2019,5.35,5.85,5.35,5.75,5.75,108222094
12-09-2019,5.8,6.05,5.45,5.55,5.55,110173555
13-09-2019,5.55,5.6,5.25,5.4,5.4,73375292
16-09-2019,5.3,5.5,5.2,5.25,5.25,63595939
17-09-2019,5.25,5.3,5,5.1,5.1,112812385
18-09-2019,5.05,5.1,4.8,4.85,4.85,85057239
19-09-2019,4.9,5.7,4.9,5.45,5.45,320602203
20-09-2019,5.5,5.95,5.3,5.85,5.85,186422247
