Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Days,timestamp,Trend_1st_Diff,seasonality_1st_diff,SARIMA_FORECAST_1
2019-04-30,16.1,16.200001,15.25,15.45,15.45,33729371,2019,4,30,2019-04-30,,,6.944878181363831
2019-05-02,15.35,16.549999,15.15,16.200001,16.200001,62636435,2019,5,2,2019-05-02,0.750001000000001,,6.912350600597112
2019-05-03,16.25,16.5,15.9,16.15,16.15,26630328,2019,5,3,2019-05-03,-0.05000100000000174,,6.891841861203903
2019-05-06,17.15,17.15,16.25,16.35,16.35,45839027,2019,5,6,2019-05-06,0.20000000000000284,,6.902302591734747
2019-05-07,16.4,16.6,15.5,15.6,15.6,36754853,2019,5,7,2019-05-07,-0.7500000000000018,,6.935777661543423
2019-05-08,15.4,15.4,13.65,14.3,14.3,240357694,2019,5,8,2019-05-08,-1.299999999999999,-1.1499999999999986,6.931356766687714
2019-05-09,14.2,14.5,13.95,14.3,14.3,157917034,2019,5,9,2019-05-09,0.0,-1.9000009999999996,6.954862305392538
2019-05-10,14.3,14.3,13.55,14.05,14.05,229057148,2019,5,10,2019-05-10,-0.25,-2.099999999999998,6.9066215539532365
2019-05-13,14.05,15.0,14.05,14.45,14.45,200282034,2019,5,13,2019-05-13,0.3999999999999986,-1.9000000000000021,6.934945030731409
2019-05-14,14.45,14.55,13.0,14.0,14.0,243253187,2019,5,14,2019-05-14,-0.4499999999999993,-1.5999999999999996,6.9855130001848735
2019-05-15,14.05,14.15,12.8,12.9,12.9,148791000,2019,5,15,2019-05-15,-1.0999999999999996,-1.4000000000000004,6.9708771886716
2019-05-16,13.0,13.0,12.05,12.2,12.2,161982330,2019,5,16,2019-05-16,-0.7000000000000011,-2.1000000000000014,6.931869280692994
2019-05-17,12.4,12.45,11.6,11.85,11.85,180983160,2019,5,17,2019-05-17,-0.34999999999999964,-2.200000000000001,6.9013330050147506
2019-05-20,12.25,13.0,11.8,12.55,12.55,137707027,2019,5,20,2019-05-20,0.7000000000000011,-1.8999999999999986,6.914928247898739
2019-05-21,12.6,12.65,11.7,11.8,11.8,94310446,2019,5,21,2019-05-21,-0.75,-2.1999999999999993,6.904102324265149
2019-05-22,11.85,12.3,11.5,12.15,12.15,133499642,2019,5,22,2019-05-22,0.34999999999999964,-0.75,6.866467892916487
2019-05-23,12.3,13.0,12.25,12.75,12.75,132685065,2019,5,23,2019-05-23,0.5999999999999996,0.5500000000000007,6.810450553617042
2019-05-24,12.85,13.25,12.55,12.85,12.85,91577582,2019,5,24,2019-05-24,0.09999999999999964,1.0,6.78644704802012
2019-05-27,12.65,13.25,12.6,13.05,13.05,99540754,2019,5,27,2019-05-27,0.20000000000000107,0.5,6.801983484306999
2019-05-28,13.05,13.8,13.0,13.65,13.65,170049972,2019,5,28,2019-05-28,0.5999999999999996,1.8499999999999996,6.8308019631945704
2019-05-29,13.7,13.75,13.15,13.2,13.2,50735753,2019,5,29,2019-05-29,-0.45000000000000107,1.049999999999999,6.798386150238838
2019-05-30,13.2,13.65,12.95,13.3,13.3,273542405,2019,5,30,2019-05-30,0.10000000000000142,0.5500000000000007,6.805111285693728
2019-05-31,13.6,14.05,13.45,13.95,13.95,151171664,2019,5,31,2019-05-31,0.6499999999999986,1.0999999999999996,6.793270567207742
2019-06-03,13.95,14.15,13.8,14.0,14.0,55031122,2019,6,3,2019-06-03,0.05000000000000071,0.9499999999999993,6.790126483673129
2019-06-04,14.05,14.4,13.8,13.85,13.85,64187215,2019,6,4,2019-06-04,-0.15000000000000036,0.1999999999999993,6.814585324971063
2019-06-06,13.9,14.0,13.2,13.45,13.45,69427339,2019,6,6,2019-06-06,-0.40000000000000036,0.25,6.77716816115443
2019-06-07,13.45,13.55,13.2,13.4,13.4,35136898,2019,6,7,2019-06-07,-0.049999999999998934,0.09999999999999964,6.747532241643188
2019-06-10,13.3,13.55,12.65,12.8,12.8,49800929,2019,6,10,2019-06-10,-0.5999999999999996,-1.1499999999999986,6.708020087177782
2019-06-11,12.95,13.25,12.6,13.15,13.15,43370155,2019,6,11,2019-06-11,0.34999999999999964,-0.8499999999999996,6.7180119076898315
2019-06-12,13.15,13.2,12.8,12.85,12.85,22813410,2019,6,12,2019-06-12,-0.3000000000000007,-1.0,6.748022766422327
2019-06-13,12.8,13.05,12.75,12.9,12.9,32447299,2019,6,13,2019-06-13,0.05000000000000071,-0.5499999999999989,6.721350254748178
2019-06-14,12.85,12.9,12.3,12.5,12.5,35801366,2019,6,14,2019-06-14,-0.40000000000000036,-0.9000000000000004,6.677454752335006
2019-06-17,12.45,12.45,12.0,12.1,12.1,34319913,2019,6,17,2019-06-17,-0.40000000000000036,-0.7000000000000011,6.642018303594439
2019-06-18,12.0,12.1,11.8,11.95,11.95,37194394,2019,6,18,2019-06-18,-0.15000000000000036,-1.200000000000001,6.635259540478333
2019-06-19,11.95,12.25,11.1,11.4,11.4,50447027,2019,6,19,2019-06-19,-0.5499999999999989,-1.4499999999999993,6.663069416785796
2019-06-20,11.3,11.95,11.25,11.9,11.9,33264078,2019,6,20,2019-06-20,0.5,-1.0,6.625992889605261
2019-06-21,11.9,12.4,11.75,12.15,12.15,71979075,2019,6,21,2019-06-21,0.25,-0.34999999999999964,6.621808472560552
2019-06-24,12.15,12.25,11.95,12.1,12.1,36858260,2019,6,24,2019-06-24,-0.05000000000000071,0.0,6.609174922749687
2019-06-25,12.0,12.3,11.85,12.1,12.1,34910618,2019,6,25,2019-06-25,0.0,0.15000000000000036,6.603954966247142
2019-06-26,12.05,12.45,12.0,12.35,12.35,50150199,2019,6,26,2019-06-26,0.25,0.9499999999999993,6.6374245087019474
2019-06-27,12.3,12.65,12.15,12.35,12.35,156191134,2019,6,27,2019-06-27,0.0,0.4499999999999993,6.6429813586428645
2019-06-28,12.3,12.4,12.05,12.15,12.15,36562073,2019,6,28,2019-06-28,-0.1999999999999993,0.0,6.616308216525313
2019-07-01,12.1,12.15,11.8,12.0,12.0,33179163,2019,7,1,2019-07-01,-0.15000000000000036,-0.09999999999999964,6.584645086973802
2019-07-02,12.05,12.1,11.6,11.7,11.7,36003888,2019,7,2,2019-07-02,-0.3000000000000007,-0.40000000000000036,6.6116420281558455
2019-07-03,11.7,12.0,11.6,11.95,11.95,29759766,2019,7,3,2019-07-03,0.25,-0.40000000000000036,6.663915256072102
2019-07-04,11.95,13.15,11.8,12.35,12.35,142320663,2019,7,4,2019-07-04,0.40000000000000036,0.0,6.633236758495776
2019-07-05,12.3,12.55,11.9,12.0,12.0,59585610,2019,7,5,2019-07-05,-0.34999999999999964,-0.15000000000000036,6.586605844906604
2019-07-08,11.95,11.95,11.4,11.45,11.45,49904183,2019,7,8,2019-07-08,-0.5500000000000007,-0.5500000000000007,6.551941485770239
2019-07-09,11.4,11.55,11.25,11.35,11.35,34589764,2019,7,9,2019-07-09,-0.09999999999999964,-0.34999999999999964,6.561180009998442
2019-07-10,11.35,11.5,11.2,11.25,11.25,33210775,2019,7,10,2019-07-10,-0.09999999999999964,-0.6999999999999993,6.570173948542023
2019-07-11,11.3,11.8,11.25,11.65,11.65,30842594,2019,7,11,2019-07-11,0.40000000000000036,-0.6999999999999993,6.530811741857052
2019-07-12,11.65,12.05,11.55,11.7,11.7,31470511,2019,7,12,2019-07-12,0.049999999999998934,-0.3000000000000007,6.512654273104118
2019-07-15,11.7,12.0,11.65,11.75,11.75,24805672,2019,7,15,2019-07-15,0.05000000000000071,0.3000000000000007,6.492599721107553
